case,horizon,n,P_self_sse_gain,P_other_cross_sse_gain,postprocessing_and_precision_sse_gain,actual_OSI_sse_gain
AB_P06,osi_target_t01h,34177,-0.004785101813334223,0.10836068919399494,-0.00023850154951122858,0.1033370858311495
AB_P06,osi_target_t06h,32982,-0.004785101813334212,0.10836068919399494,-0.00023850154951122844,0.1033370858311495
AB_P06,osi_target_t24h,28680,0.0,0.0,0.0,0.0
AB_P06,osi_target_t48h,22944,0.0,0.0,0.0,0.0
AB_P24,osi_target_t01h,34177,-0.02689618655455795,0.0033200411394718023,4.8780822428533374e-05,-0.02352736459265762
AB_P24,osi_target_t06h,32982,-0.02689618655455795,0.0033200411394718023,4.878082242853332e-05,-0.023527364592657626
AB_P24,osi_target_t24h,28680,-0.13116887409088265,0.01638064846334718,0.00019599559403194117,-0.1145922300335035
AB_P24,osi_target_t48h,22944,0.0,0.0,0.0,0.0
AB_P48,osi_target_t01h,34177,-0.01722081894332398,-0.007243214678943845,0.00010053408502561293,-0.024363499537242185
AB_P48,osi_target_t06h,32982,-0.01722081894332398,-0.007243214678943845,0.0001005340850256129,-0.024363499537242192
AB_P48,osi_target_t24h,28680,0.0,0.0,0.0,0.0
AB_P48,osi_target_t48h,22944,-0.09038884882220724,-0.01932359483565438,0.0005094435573518833,-0.10920300010050973
