case,horizon,mode,n,rmse,sse,mae,bias
W0,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
W0,1,C1_component_osi,34177,0.01099408271972475,4.130969029145235,0.003278457649174449,-0.00010064466718107809
W0,1,C2_equal_blend,34177,0.011319898969309572,4.379444630906323,0.003364610377481295,-0.0001314229386326237
W0,1,C3_aligned_component,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
W0,1,v18_rule,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
W1,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
W1,1,C1_component_osi,34177,0.01099408271972475,4.130969029145235,0.003278457649174449,-0.00010064466718107809
W1,1,C2_equal_blend,34177,0.011319898969309572,4.379444630906323,0.003364610377481295,-0.0001314229386326237
W1,1,C3_aligned_component,34177,0.010842440597617511,4.017797473543366,0.003230839171954998,-0.00011930306289499328
W1,1,v18_rule,34177,0.010842440597617511,4.017797473543366,0.003230839171954998,-0.00011930306289499328
W0,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
W0,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
W0,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
W0,6,C3_aligned_component,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
W0,6,v18_rule,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
W1,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
W1,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
W1,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
W1,6,C3_aligned_component,32982,0.009911048082685387,3.2397847254772048,0.0031041518489261246,-0.00010335530607026019
W1,6,v18_rule,32982,0.009911048082685387,3.2397847254772048,0.0031041518489261246,-0.00010335530607026019
W0,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
W0,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
W0,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
W0,24,C3_aligned_component,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05
W0,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
W1,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
W1,24,C1_component_osi,28680,0.008445786144358721,2.0457817871402137,0.0027925226949120662,-6.74769861212298e-05
W1,24,C2_equal_blend,28680,0.008501554872171163,2.072888162813328,0.002786026252353399,-9.250863973758076e-05
W1,24,C3_aligned_component,28680,0.008325036729526404,1.9877028641955985,0.0026884234784789202,-8.228382447076972e-05
W1,24,v18_rule,28680,0.008445786144358721,2.0457817871402137,0.0027925226949120662,-6.74769861212298e-05
W0,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
W0,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
W0,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
W0,48,C3_aligned_component,22944,0.0077211144981667885,1.3678205350481787,0.0021926775801264483,-0.0001324787250324035
W0,48,v18_rule,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
W1,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
W1,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
W1,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
W1,48,C3_aligned_component,22944,0.007721818137019998,1.368069850228745,0.0021954891442242056,-0.0001271492859396201
W1,48,v18_rule,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
