fipsCode,countyName,stateAbbr,target_day,n,true_P_mean,true_P_max,true_P_peak_hour,W0_P_mean,W0_P_max,W0_P_peak_hour,W1_P_mean,W1_P_max,W1_P_peak_hour,true_OSI_mean,true_OSI_max,true_OSI_peak_hour,W0_OSI_mean,W0_OSI_max,W0_OSI_peak_hour,W1_OSI_mean,W1_OSI_max,W1_OSI_peak_hour,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
18009,Blackford County,IN,4,24,0.006332106583333333,0.017635332,116,0.008606416982093421,0.01767552853813375,110,0.009909695148984859,0.018228155758467174,113,0.004091666666666667,0.0109,116,0.006302585600686535,0.010295237972544112,110,0.00682389686744311,0.010168447382120978,119,0.00404138098116107,0.00039198624563736986,0.003621195556299056,0.0027322302007764428,0.0037051174055584115,0.00033626357560265826,9.075652369293241,-6.25167659020444e-05
18009,Blackford County,IN,5,24,0.0022491438333333332,0.014108266,120,0.00521130862097068,0.01961700284919829,121,0.00667447610122068,0.022066033949530783,121,0.0018499999999999999,0.0094,120,0.003723570261468134,0.011769784708089268,121,0.004286342741938999,0.012749397148222265,121,0.0038171384242444116,0.0003496930979962346,0.0027672344487931076,0.0024363427419389996,0.003129868347875388,0.0006872700763690238,21.958434029199836,-0.00011458727699546157
18009,Blackford County,IN,6,24,8.945458333333334e-05,0.00214691,148,1.1988717122064052e-05,0.00024333659270466579,147,6.001734920658857e-05,0.0009195406416404009,144,9.583333333333334e-05,0.0011,148,0.0,0.0,144,4.993142609048786e-05,0.0011983542261717085,144,0.00033206312189534913,2.6463820061492522e-06,0.00013743142609048788,-4.590190724284548e-05,0.00024579802006254373,8.62651018328054e-05,35.095930313374815,-1.1963820061492523e-06
18009,Blackford County,IN,7,24,2.5574124999999998e-05,0.000613779,191,6.226613200915841e-05,0.00031281773802932256,187,6.696077961017023e-05,0.000503318133589097,178,1.6666666666666664e-05,0.0003,191,0.0,0.0,168,0.0,0.0,168,6.454972243679028e-05,9.999999999999998e-08,1.6666666666666664e-05,-1.6666666666666664e-05,6.454972243679028e-05,0.0,0.0,0.0
18009,Blackford County,IN,8,24,0.0007778678333333334,0.006022236,212,2.3096306193484152e-05,0.0005543113486436197,204,7.77222814732146e-05,0.0006171818873916986,203,0.0005041666666666667,0.0036,213,0.0,0.0,192,0.0,0.0,192,0.0011193376017389332,3.0070000000000002e-05,0.0005041666666666667,-0.0005041666666666667,0.0011193376017389332,0.0,0.0,0.0
18013,Brown County,IN,4,24,0.07171395579166667,0.242625714,109,0.012376794876666776,0.035287322750736635,110,0.011464855906487659,0.03485790535043093,111,0.0486625,0.1379,109,0.007301845188242305,0.019922979789764875,110,0.0067807876454429,0.01887857397761249,111,0.06048924226417524,0.08781476231265803,0.042120909516701215,-0.0418817123545571,0.06030107197189478,0.0001881702922804651,0.3120513220199017,-0.0005454995696268089
18013,Brown County,IN,5,24,0.040369855875,0.12257702,124,0.020184103426424817,0.03743263171001064,129,0.020903343971735305,0.02897680709905751,140,0.028670833333333336,0.0774,124,0.012886773386589065,0.018937408166443376,129,0.013174469604713262,0.019229296908554187,142,0.03110337041797016,0.023218071632579072,0.024444700325703086,-0.015496363728620071,0.030940685298841024,0.00016268511912913633,0.5257967545251097,-0.00024224747029306243
18013,Brown County,IN,6,24,0.003276853541666666,0.021908061,150,0.006347568831936347,0.014682324607681973,144,0.005499457793819788,0.01963478166848294,144,0.0025,0.0133,149,0.005900925049457574,0.013097955844225602,144,0.005540255888100881,0.01507893866854599,144,0.0051761328309686905,0.0006430164260119667,0.003979237974726748,0.003040255888100881,0.005206121714029672,-2.9988883060981866e-05,-0.5760311554024344,7.472453219023304e-06
18013,Brown County,IN,7,24,5.8513750000000005e-05,0.000374532,168,0.0005721039739278104,0.00360701380357426,180,0.0008707136512091509,0.003026826983193023,181,4.5833333333333334e-05,0.0002,168,0.00020507015268369502,0.0020054631997139705,180,0.00021913264871611569,0.0015649333835549947,180,0.0005073246352956388,6.177078853868469e-06,0.0002316326487161157,0.00017329931538278233,0.0005561728918152477,-4.884825651960893e-05,-8.782926539295556,1.2468000002947756e-06
18013,Brown County,IN,8,24,1.5604e-05,0.000187248,202,0.0008278295992775244,0.00393941698337329,197,0.00031744248991689555,0.0018611074938743478,213,8.333333333333334e-06,0.0001,202,6.559449718379128e-05,0.001574267932410991,197,0.0,0.0,192,2.886751345948129e-05,2e-08,8.333333333333334e-06,-8.333333333333334e-06,0.00032264011962618506,-0.0002937726061667038,-91.05272044501856,2.478319523017576e-06
