horizon,target_day,start,end,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,3,73,95,5497,0.01921742834940514,2.0300946093477683,0.006060834094438885,-0.00031244691554311633,0.01921742834940514,0.0,0.0,0.0
1,4,96,119,5736,0.010393521124959263,0.6196330139668536,0.0046601608154977795,9.717802140463147e-05,0.010384723674960768,8.797449998494689e-06,0.08471530176297204,-0.0010485153877063391
1,5,120,143,5736,0.00989720953004885,0.5618684831789728,0.004337525753353451,0.0001593279765197986,0.009898544992165671,-1.3354621168203823e-06,-0.013491499183737599,0.0001516396506466844
1,6,144,167,5736,0.01051802755692362,0.6345673915555419,0.0034653218826579866,-0.00048392998457618205,0.010513672508605078,4.355048318541166e-06,0.04142271232985273,-0.0005253835855570932
1,7,168,191,5736,0.00537655596146845,0.16581258258301584,0.000723304456179853,-0.00013120131167739484,0.005377927149484894,-1.3711880164444384e-06,-0.025496589640039424,8.458545574044352e-05
1,8,192,215,5736,0.0010074160948424227,0.005821392911214388,0.00025580448470553216,-5.279382402470215e-05,0.0010108577397005534,-3.4416448581307303e-06,-0.3404677753320873,3.9843298603780934e-05
6,3,78,95,4302,0.017060083755936113,1.2520818612816065,0.005875674318574152,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
6,4,96,119,5736,0.010393521124959263,0.6196330139668536,0.0046601608154977795,9.717802140463147e-05,0.010384723674960768,8.797449998494689e-06,0.08471530176297204,-0.0010485153877063391
6,5,120,143,5736,0.00989720953004885,0.5618684831789728,0.004337525753353451,0.0001593279765197986,0.009898544992165671,-1.3354621168203823e-06,-0.013491499183737599,0.0001516396506466844
6,6,144,167,5736,0.01051802755692362,0.6345673915555419,0.0034653218826579866,-0.00048392998457618205,0.010513672508605078,4.355048318541166e-06,0.04142271232985273,-0.0005253835855570932
6,7,168,191,5736,0.00537655596146845,0.16581258258301584,0.000723304456179853,-0.00013120131167739484,0.005377927149484894,-1.3711880164444384e-06,-0.025496589640039424,8.458545574044352e-05
6,8,192,215,5736,0.0010074160948424227,0.005821392911214388,0.00025580448470553216,-5.279382402470215e-05,0.0010108577397005534,-3.4416448581307303e-06,-0.3404677753320873,3.9843298603780934e-05
24,4,96,119,5736,0.0108146344038364,0.6708614359676499,0.004967949271905951,0.00011517593289480474,0.010777754326160132,3.688007767626775e-05,0.34218703229067504,-0.004567742992446
24,5,120,143,5736,0.010192372129051759,0.5958812030035197,0.004497456900328255,9.179256628048907e-05,0.010209189414173014,-1.68172851212553e-05,-0.1647269380457228,0.0019680151607162077
24,6,144,167,5736,0.010273046056469158,0.6053514861965382,0.00348460652649487,-0.00038555039896451374,0.010246183725657016,2.686233081214233e-05,0.26216913078453974,-0.003161650725164722
24,7,168,191,5736,0.005399681065445983,0.16724200297056172,0.0007342831923734885,-0.00012768900191205808,0.005402451268720121,-2.770203274138003e-06,-0.051276784117926244,0.0001716446511356995
24,8,192,215,5736,0.001060056691230934,0.0064456590019442575,0.00027831758345776695,-3.1114028904870976e-05,0.0010796341022084115,-1.9577410977477533e-05,-1.813337587005781,0.00024027878017595945
48,5,120,143,5736,0.009851380342539039,0.5566770485316992,0.00431227695207857,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
48,6,144,167,5736,0.01043870476426639,0.6250321718440501,0.0035630681108317643,-0.00047227150328336037,0.01043870476426639,0.0,0.0,0.0
48,7,168,191,5736,0.005435793609578428,0.1694864800237956,0.0007985047457837364,-5.746291552457216e-05,0.005435793609578428,0.0,0.0,0.0
48,8,192,215,5736,0.0010267739314685862,0.0060472623555860704,0.00026616475260204215,-4.5154027933093984e-05,0.0010267739314685862,0.0,0.0,0.0
