model,horizon,fold,rmse,mae,n
C0_direct_osi,osi_target_t01h,0,0.010908669479917915,0.0036067505405420965,6864
C0_direct_osi,osi_target_t01h,1,0.012968352770499488,0.003966157013020463,6864
C0_direct_osi,osi_target_t01h,2,0.00836729798860516,0.0031736421525487657,6864
C0_direct_osi,osi_target_t01h,3,0.01563367733007568,0.0034489654590134713,6721
C0_direct_osi,osi_target_t01h,4,0.01463456794879279,0.004275503629540471,6864
C0_direct_osi,osi_target_t06h,0,0.010779337044870246,0.0035118342019280764,6624
C0_direct_osi,osi_target_t06h,1,0.009779188058040433,0.0034533487900328245,6624
C0_direct_osi,osi_target_t06h,2,0.008348428919322935,0.0031168931450609493,6624
C0_direct_osi,osi_target_t06h,3,0.01246187874309007,0.0031824222520885613,6486
C0_direct_osi,osi_target_t06h,4,0.012795235297321184,0.00392059621640109,6624
C0_direct_osi,osi_target_t24h,0,0.010290455315923663,0.0031042074407358028,5760
C0_direct_osi,osi_target_t24h,1,0.006812670234150754,0.002986193938703156,5760
C0_direct_osi,osi_target_t24h,2,0.006519909437512913,0.0025533709372624436,5760
C0_direct_osi,osi_target_t24h,3,0.006345165978525091,0.002433146408991875,5640
C0_direct_osi,osi_target_t24h,4,0.011795262173916243,0.003500913721705824,5760
C0_direct_osi,osi_target_t48h,0,0.009664330154120583,0.002411557766789881,4608
C0_direct_osi,osi_target_t48h,1,0.0052749159112082215,0.0022069786538473943,4608
C0_direct_osi,osi_target_t48h,2,0.004494443067801714,0.0017625824164417517,4608
C0_direct_osi,osi_target_t48h,3,0.003972133933574378,0.0016507768092298286,4512
C0_direct_osi,osi_target_t48h,4,0.012534400083516589,0.0032880146672145463,4608
C1_component_osi,osi_target_t01h,0,0.010888843199015686,0.003555715533171556,6864
C1_component_osi,osi_target_t01h,1,0.012331581396880972,0.0037859031380746634,6864
C1_component_osi,osi_target_t01h,2,0.008328077249583704,0.0031860074523444347,6864
C1_component_osi,osi_target_t01h,3,0.01565026307842955,0.0034003676642629845,6721
C1_component_osi,osi_target_t01h,4,0.014333656907398299,0.004136927139450059,6864
C1_component_osi,osi_target_t06h,0,0.010765737615779052,0.0034722181504880357,6624
C1_component_osi,osi_target_t06h,1,0.009992639296131268,0.0034706791282645053,6624
C1_component_osi,osi_target_t06h,2,0.008091569974790297,0.003039069703009673,6624
C1_component_osi,osi_target_t06h,3,0.01247924931184,0.00317893150109257,6486
C1_component_osi,osi_target_t06h,4,0.012848494191058164,0.003946835935460448,6624
C1_component_osi,osi_target_t24h,0,0.010292288527218797,0.0031032469357711425,5760
C1_component_osi,osi_target_t24h,1,0.006936390394075493,0.0030706789773871325,5760
C1_component_osi,osi_target_t24h,2,0.006425406407371111,0.0026138385184966677,5760
C1_component_osi,osi_target_t24h,3,0.006297646551881186,0.002443474538539895,5640
C1_component_osi,osi_target_t24h,4,0.011983782189686838,0.003539471774807722,5760
C1_component_osi,osi_target_t48h,0,0.009747827678557438,0.0024350176144370735,4608
C1_component_osi,osi_target_t48h,1,0.005400262868545189,0.0022557715794543267,4608
C1_component_osi,osi_target_t48h,2,0.004382269551473135,0.0017654079598535012,4608
C1_component_osi,osi_target_t48h,3,0.003945728344992405,0.0015838545188318462,4512
C1_component_osi,osi_target_t48h,4,0.012320193244812688,0.0031957518067621967,4608
C2_equal_blend,osi_target_t01h,0,0.010878740784183825,0.003558948625262769,6864
C2_equal_blend,osi_target_t01h,1,0.012619607654337615,0.003847484455917468,6864
C2_equal_blend,osi_target_t01h,2,0.008314406302993472,0.0031551372195983154,6864
C2_equal_blend,osi_target_t01h,3,0.01562877221771289,0.003398476956672737,6721
C2_equal_blend,osi_target_t01h,4,0.014458247353232359,0.004179872258159729,6864
C2_equal_blend,osi_target_t06h,0,0.01075493975693417,0.003479020765954522,6624
C2_equal_blend,osi_target_t06h,1,0.009859787229232973,0.003436317199582971,6624
C2_equal_blend,osi_target_t06h,2,0.008197439914632346,0.003052256371073403,6624
C2_equal_blend,osi_target_t06h,3,0.01245183728132079,0.003146190684030411,6486
C2_equal_blend,osi_target_t06h,4,0.012803602981938517,0.003909802185144252,6624
C2_equal_blend,osi_target_t24h,0,0.010282149988300899,0.0030927848452329933,5760
C2_equal_blend,osi_target_t24h,1,0.00682409886564358,0.0030043491530148954,5760
C2_equal_blend,osi_target_t24h,2,0.0064449923987191,0.0025584518360476705,5760
C2_equal_blend,osi_target_t24h,3,0.0062965659229153245,0.002416567428593796,5640
C2_equal_blend,osi_target_t24h,4,0.011876973785822448,0.0035036964051365247,5760
C2_equal_blend,osi_target_t48h,0,0.009699595753804462,0.0024128246324638205,4608
C2_equal_blend,osi_target_t48h,1,0.0053132031729229345,0.0022102411943953314,4608
C2_equal_blend,osi_target_t48h,2,0.004413767573974799,0.0017464839479369963,4608
C2_equal_blend,osi_target_t48h,3,0.003928717847334212,0.0016068964943324465,4512
C2_equal_blend,osi_target_t48h,4,0.012416866770338753,0.0032272326537697267,4608
C3_aligned_component,osi_target_t01h,0,0.010838144774828778,0.0035167961658113325,6864
C3_aligned_component,osi_target_t01h,1,0.012082683304091806,0.003824802640950612,6864
C3_aligned_component,osi_target_t01h,2,0.008182971186894053,0.003107635882790988,6864
C3_aligned_component,osi_target_t01h,3,0.01574868019971668,0.0033170478226930457,6721
C3_aligned_component,osi_target_t01h,4,0.014324211328444903,0.004132185248263724,6864
C3_aligned_component,osi_target_t06h,0,0.010723390356987775,0.0034077458746063116,6624
C3_aligned_component,osi_target_t06h,1,0.010196129731409403,0.003506812852592925,6624
C3_aligned_component,osi_target_t06h,2,0.007951117331852454,0.0029690987184223428,6624
C3_aligned_component,osi_target_t06h,3,0.012282956146469072,0.0030081051084324736,6486
C3_aligned_component,osi_target_t06h,4,0.012589313935653487,0.0038415687803896427,6624
C3_aligned_component,osi_target_t24h,0,0.010196384867554765,0.002988252279226939,5760
C3_aligned_component,osi_target_t24h,1,0.006228864439023002,0.0026768805195402064,5760
C3_aligned_component,osi_target_t24h,2,0.006172696798658949,0.002435114905943261,5760
C3_aligned_component,osi_target_t24h,3,0.005717072595921635,0.002319014989325695,5640
C3_aligned_component,osi_target_t24h,4,0.011802965289661772,0.0033689201305406183,5760
C3_aligned_component,osi_target_t48h,0,0.009667846935638616,0.0024173825587697783,4608
C3_aligned_component,osi_target_t48h,1,0.005295100539470819,0.0022556348780400047,4608
C3_aligned_component,osi_target_t48h,2,0.00449730239665799,0.0018790111393886116,4608
C3_aligned_component,osi_target_t48h,3,0.003957510325993286,0.0016333489973268775,4512
C3_aligned_component,osi_target_t48h,4,0.012509200539812384,0.0031867624039262996,4608
