horizon,component,rmse,mae,n
osi_target_t01h,P_t,0.018339438170482756,0.005518413559786149,34177
osi_target_t01h,N_t,0.004303162160095523,0.0008992467098105186,34177
osi_target_t01h,D_t,0.016414137704847488,0.005210192178050882,34177
osi_target_t01h,R_t,0.0040844712089003945,0.001093459303415664,34177
osi_target_t06h,P_t,0.01597101889395984,0.005258476536247554,32982
osi_target_t06h,N_t,0.0037627616157314384,0.0008313212400561807,32982
osi_target_t06h,D_t,0.015602336525511512,0.005154964126675082,32982
osi_target_t06h,R_t,0.004089008045765837,0.0010783648847734362,32982
osi_target_t24h,P_t,0.013144117680816062,0.004453566109821855,28680
osi_target_t24h,N_t,0.003774665008451409,0.0008454606613108937,28680
osi_target_t24h,D_t,0.01123222640699255,0.0042064642529646016,28680
osi_target_t24h,R_t,0.003459031978883391,0.0008834611355222848,28680
osi_target_t48h,P_t,0.011963121349790372,0.0035636903778492072,22944
osi_target_t48h,N_t,0.0034708583677592105,0.0006683054820512851,22944
osi_target_t48h,D_t,0.010356446554197115,0.0035412158131662933,22944
osi_target_t48h,R_t,0.0032968273444557374,0.0007477771984916542,22944
