model,reference,horizon,metric,difference,change_pct,ci_2_5,ci_97_5,improvement_probability,replicates,unit
C1_component_osi,C0_direct_osi,osi_target_t01h,rmse,-4.020871756229595e-05,-0.35231911832924734,-0.00021869644532098242,0.0001076159598902152,0.699,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t01h,mae,-1.7601509897541192e-05,-0.5046549778592091,-7.377446101038144e-05,3.845018891687023e-05,0.7165,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t01h,rmse,-4.751622532981996e-05,-0.416349379673675,-0.00014175306509076678,3.273775404479467e-05,0.879,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t01h,mae,-3.5228221064121865e-05,-1.01003250429198,-6.389267782939167e-05,-6.272545071192279e-06,0.9955,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t01h,rmse,-7.3075077675240074e-06,-0.06425664980649337,-7.728025980972458e-05,7.786775554165332e-05,0.5535,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t01h,mae,-1.7626711166580673e-05,-0.5079408753447812,-4.537337775652608e-05,9.942226188237813e-06,0.8905,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t01h,rmse,3.3996234234247996e-05,0.2978837425831271,-0.00015545719211022536,0.00019441077779763018,0.3585,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t01h,mae,-2.4598788897346128e-05,-0.7052747939588766,-0.00010580224239233322,5.5956015851717085e-05,0.722,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t01h,rmse,7.420495179654395e-05,0.6525017493226759,-6.281207195379815e-05,0.00023516022714600133,0.1635,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t01h,mae,-6.997278999804936e-06,-0.20163738922159835,-7.435661332983171e-05,6.390906360746847e-05,0.5845,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t01h,rmse,3.3996234234247996e-05,0.2978837425831271,-0.00015545719211022536,0.00019441077779763018,0.3585,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t01h,mae,-2.4598788897346128e-05,-0.7052747939588766,-0.00010580224239233322,5.5956015851717085e-05,0.722,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t01h,rmse,7.420495179654395e-05,0.6525017493226759,-6.281207195379815e-05,0.00023516022714600133,0.1635,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t01h,mae,-6.997278999804936e-06,-0.20163738922159835,-7.435661332983171e-05,6.390906360746847e-05,0.5845,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t06h,rmse,-4.2622479906349875e-05,-0.419327956299842,-0.00018267139357281228,8.734403784813891e-05,0.7315,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t06h,mae,-1.401580260623498e-05,-0.41702391446487574,-6.634217878365941e-05,3.86435824634052e-05,0.6745,2000,county_full_trajectory
