horizon,component,weight,contribution_rmse,contribution_mae,correlation_with_C1_osi_error
osi_target_t01h,P_t,0.4,0.007627213669328862,0.002232124996263226,0.9839649644642667
osi_target_t01h,N_t,0.35,0.0015048206667982148,0.0003129085660681456,0.46750709038721544
osi_target_t01h,D_t,0.25,0.004304742534866792,0.0013321977160464472,0.8969731767523383
osi_target_t01h,R_t,-0.1,0.00040970694452201894,0.00011136765897492753,-0.4156065802495259
osi_target_t06h,P_t,0.4,0.006681707690906079,0.0021590027770063288,0.9819149150950456
osi_target_t06h,N_t,0.35,0.001317636024990489,0.0003042425825279996,0.4253999522855122
osi_target_t06h,D_t,0.25,0.0040740942426436035,0.0013062505110672787,0.9030462262156965
osi_target_t06h,R_t,-0.1,0.0004078992384064513,0.00010904266014636431,-0.4553366788438415
osi_target_t24h,P_t,0.4,0.005452051373872456,0.001758400824372143,0.9806213563093066
osi_target_t24h,N_t,0.35,0.0013283266219999835,0.00030567789838351186,0.533559246931081
osi_target_t24h,D_t,0.25,0.0029673052701943456,0.0010515662853699662,0.8694984071842283
osi_target_t24h,R_t,-0.1,0.0003490433591375446,9.168035247756346e-05,-0.43310318638382067
osi_target_t48h,P_t,0.4,0.004938582429749756,0.0013936238466083612,0.9792455648648308
osi_target_t48h,N_t,0.35,0.0012175679553385408,0.00023426093654751713,0.5431903764695997
osi_target_t48h,D_t,0.25,0.002690798676467696,0.0008659224004890104,0.8684931073438555
osi_target_t48h,R_t,-0.1,0.00032893088786272855,7.493889952704075e-05,-0.4672009681343107
