model,horizon,fipsCode,rmse,mae,n
C0_direct_osi,osi_target_t01h,18009,0.006455825305257041,0.00377570498351586,143
C0_direct_osi,osi_target_t01h,18013,0.029371327521367934,0.013826883390686334,143
C0_direct_osi,osi_target_t01h,18023,0.0020370069404625564,0.0008132340203464174,143
C0_direct_osi,osi_target_t01h,18025,0.01226871557645628,0.002234434609479308,143
C0_direct_osi,osi_target_t01h,18027,0.004120957225489651,0.0018056382801498899,143
C0_direct_osi,osi_target_t01h,18029,0.0015717899952437274,0.0006256160903712002,143
C0_direct_osi,osi_target_t01h,18033,0.003094353597715886,0.0013467780446412543,143
C0_direct_osi,osi_target_t01h,18035,0.0019665131432639598,0.0009989619632557734,143
C0_direct_osi,osi_target_t01h,18037,0.002865045643283015,0.001245891755797082,143
C0_direct_osi,osi_target_t01h,18039,0.0025936395003720277,0.0018350438197421133,143
C0_direct_osi,osi_target_t01h,18041,0.004866868611556829,0.002226921810287457,143
C0_direct_osi,osi_target_t01h,18043,0.001923213673855933,0.0007486141872344565,143
C0_direct_osi,osi_target_t01h,18045,0.0019252362346122989,0.000769503774337913,143
C0_direct_osi,osi_target_t01h,18047,0.0033684332124266744,0.0012397412001327584,143
C0_direct_osi,osi_target_t01h,18051,0.0010429801914877464,0.00036820045493992363,143
C0_direct_osi,osi_target_t01h,18059,0.0012672177077736194,0.00039053540696883896,143
C0_direct_osi,osi_target_t01h,18061,0.0039044456258637396,0.001599895914812649,143
C0_direct_osi,osi_target_t01h,18065,0.0022038812832675713,0.0011410222938286715,143
C0_direct_osi,osi_target_t01h,18067,0.0016747202469727916,0.0005358030096486535,143
C0_direct_osi,osi_target_t01h,18069,0.0014070791746336705,0.0007737414133148754,143
C0_direct_osi,osi_target_t01h,18071,0.004163887581562179,0.0015706084085396629,143
C0_direct_osi,osi_target_t01h,18073,0.0033822343339045343,0.0019501305011188545,143
C0_direct_osi,osi_target_t01h,18077,0.0047467552140876765,0.0014145191370428124,143
C0_direct_osi,osi_target_t01h,18083,0.004237644836191765,0.0021488415016431223,143
C0_direct_osi,osi_target_t01h,18085,0.004289675233377182,0.002863463370659908,143
C0_direct_osi,osi_target_t01h,18087,0.0017382327037223806,0.0014895638520676798,143
C0_direct_osi,osi_target_t01h,18089,0.003005078205274103,0.002270039371777264,143
C0_direct_osi,osi_target_t01h,18091,0.0014167929930036557,0.0007385840907153373,143
C0_direct_osi,osi_target_t01h,18093,0.007661893232568975,0.0025269849276704716,143
C0_direct_osi,osi_target_t01h,18095,0.0015526487384638279,0.0007865464209952289,143
C0_direct_osi,osi_target_t01h,18097,0.0008312561565956696,0.00038025063685313354,143
C0_direct_osi,osi_target_t01h,18099,0.008772900662822793,0.0032209099262026654,143
C0_direct_osi,osi_target_t01h,18101,0.0030948744861468845,0.0016783733694947238,143
C0_direct_osi,osi_target_t01h,18103,0.004849671362725657,0.0026338757182607867,143
C0_direct_osi,osi_target_t01h,18105,0.0018874785518754285,0.0006312062376955655,143
C0_direct_osi,osi_target_t01h,18107,0.001636206204539548,0.0008023078511833083,143
C0_direct_osi,osi_target_t01h,18109,0.001462930183416913,0.0005608869923645471,143
C0_direct_osi,osi_target_t01h,18111,0.004732373123040628,0.0031242587035447446,143
C0_direct_osi,osi_target_t01h,18113,0.0013812223620779476,0.000839216770970988,143
C0_direct_osi,osi_target_t01h,18117,0.013174503577104247,0.003770329286136163,143
C0_direct_osi,osi_target_t01h,18121,0.024462463009621096,0.009075902863094898,143
C0_direct_osi,osi_target_t01h,18123,0.0058759474545173225,0.002126960862163149,143
C0_direct_osi,osi_target_t01h,18125,0.0027676018466622865,0.0008627596424888459,143
C0_direct_osi,osi_target_t01h,18127,0.003119038472055068,0.0023771374824042278,143
C0_direct_osi,osi_target_t01h,18129,0.0013745325109527186,0.0006083592944290774,143
C0_direct_osi,osi_target_t01h,18131,0.017481557851831798,0.004317545010150827,143
C0_direct_osi,osi_target_t01h,18133,0.0011144901764834373,0.000492039066979429,143
C0_direct_osi,osi_target_t01h,18135,0.004976868758202251,0.0029994540373904457,143
C0_direct_osi,osi_target_t01h,18137,0.0033057830560524323,0.0013450630139015267,143
C0_direct_osi,osi_target_t01h,18139,0.00277623293034985,0.0009126233126321231,143
C0_direct_osi,osi_target_t01h,18141,0.0016792803779749994,0.0011597259136983205,143
C0_direct_osi,osi_target_t01h,18143,0.0037988064073493457,0.001643328225003195,143
C0_direct_osi,osi_target_t01h,18145,0.0015199265011232826,0.0005631302655101615,143
C0_direct_osi,osi_target_t01h,18147,0.0023867105332859265,0.0009193345990259651,143
C0_direct_osi,osi_target_t01h,18149,0.006248491138468028,0.0041052394052442445,143
C0_direct_osi,osi_target_t01h,18151,0.011327280194539165,0.008506576196776958,143
C0_direct_osi,osi_target_t01h,18153,0.0024757157884706523,0.0008911227776078371,143
C0_direct_osi,osi_target_t01h,18155,0.003819277735892815,0.0014808043818500386,143
C0_direct_osi,osi_target_t01h,18157,0.0011934239553890926,0.0004117292358185238,143
C0_direct_osi,osi_target_t01h,18159,0.004100059597470064,0.0012750285879440477,143
C0_direct_osi,osi_target_t01h,18161,0.0024594748021591166,0.0011545406974602611,143
C0_direct_osi,osi_target_t01h,18163,0.0006513187942787767,0.00028042193312566115,143
C0_direct_osi,osi_target_t01h,18165,0.013697436556354626,0.00315445253804725,143
C0_direct_osi,osi_target_t01h,18167,0.0017511502929590114,0.0006833161702704169,143
C0_direct_osi,osi_target_t01h,18169,0.0014383516553464128,0.0004766351040783099,143
C0_direct_osi,osi_target_t01h,18171,0.0041880046941922865,0.0016033737593482502,143
C0_direct_osi,osi_target_t01h,18173,0.0018420068795599693,0.0006532403618983402,143
C0_direct_osi,osi_target_t01h,18175,0.004678976534382083,0.0013598600270910053,143
C0_direct_osi,osi_target_t01h,18177,0.0016128280122588955,0.0009140413584461724,143
C0_direct_osi,osi_target_t01h,18179,0.004920028240406454,0.0016019025608538123,143
C0_direct_osi,osi_target_t01h,18181,0.0025942371867050023,0.0011726632027236818,143
C0_direct_osi,osi_target_t01h,18183,0.0025705468764501017,0.0008748159230064916,143
C0_direct_osi,osi_target_t01h,39017,0.0010190286948688534,0.00040341858995182774,143
C0_direct_osi,osi_target_t01h,39023,0.003671039019991608,0.002127260109482486,143
C0_direct_osi,osi_target_t01h,39025,0.0018432970404974925,0.0006436481389171119,143
C0_direct_osi,osi_target_t01h,39027,0.0011086408112286608,0.0005147480028883179,143
C0_direct_osi,osi_target_t01h,39029,0.010154214307153167,0.0060368263326414685,143
C0_direct_osi,osi_target_t01h,39031,0.011384398485927278,0.006991740083335485,143
C0_direct_osi,osi_target_t01h,39033,0.005534307640833507,0.002622460172653968,143
C0_direct_osi,osi_target_t01h,39035,0.005792538334416133,0.004177737667573893,143
C0_direct_osi,osi_target_t01h,39037,0.002323776951441533,0.0011508100258416543,143
C0_direct_osi,osi_target_t01h,39039,0.009587015166855756,0.005260250868529225,143
C0_direct_osi,osi_target_t01h,39045,0.004665908219824718,0.0028536832441033127,143
C0_direct_osi,osi_target_t01h,39049,0.0065483130399990215,0.0037808436421547615,143
C0_direct_osi,osi_target_t01h,39051,0.003888378400125525,0.0019971273984304484,143
C0_direct_osi,osi_target_t01h,39053,0.0026103067682317687,0.0009478122399317183,143
C0_direct_osi,osi_target_t01h,39055,0.014162905994989554,0.00626558574536327,143
C0_direct_osi,osi_target_t01h,39059,0.01513820439688125,0.008801049645647182,143
C0_direct_osi,osi_target_t01h,39061,0.0011081831482952361,0.0005711611543927496,143
C0_direct_osi,osi_target_t01h,39063,0.002313405895193915,0.00130428503454811,143
C0_direct_osi,osi_target_t01h,39065,0.00274568384109757,0.0014205018879271253,143
C0_direct_osi,osi_target_t01h,39069,0.0025058924522099735,0.0010562273947372774,143
C0_direct_osi,osi_target_t01h,39073,0.005278194950827562,0.0037100599152350045,143
C0_direct_osi,osi_target_t01h,39075,0.013846164631870888,0.007352541159903666,143
C0_direct_osi,osi_target_t01h,39077,0.005259187805807195,0.0030129116236041384,143
C0_direct_osi,osi_target_t01h,39081,0.012220862953739165,0.006959299160553571,143
C0_direct_osi,osi_target_t01h,39085,0.002524117290383842,0.0012763479677241312,143
C0_direct_osi,osi_target_t01h,39087,0.0036091815851145817,0.0012699410400216148,143
C0_direct_osi,osi_target_t01h,39089,0.025156467709687384,0.01142258562058026,143
C0_direct_osi,osi_target_t01h,39091,0.014831569114609722,0.009885002303142548,143
C0_direct_osi,osi_target_t01h,39093,0.00357569280878538,0.0018802116006496686,143
C0_direct_osi,osi_target_t01h,39095,0.002535896383392797,0.0016363378737821184,143
C0_direct_osi,osi_target_t01h,39097,0.009999675258659056,0.003623977247121287,143
C0_direct_osi,osi_target_t01h,39099,0.0028276216212876934,0.0016997423205203977,143
C0_direct_osi,osi_target_t01h,39101,0.00786849786338012,0.006022776766803745,143
C0_direct_osi,osi_target_t01h,39103,0.005480861177574627,0.0035512841626862217,143
