model,horizon,severity,rmse,mae,n
C0_direct_osi,osi_target_t01h,zero,0.0018494580914043318,0.0006423594268953022,14503
C0_direct_osi,osi_target_t01h,0_to_0.01,0.0051282890386055635,0.0027006799296897177,16098
C0_direct_osi,osi_target_t01h,0.01_to_0.05,0.01662350307612977,0.012179301919051725,2628
C0_direct_osi,osi_target_t01h,above_0.05,0.06291999927106397,0.04030444485258205,948
C0_direct_osi,osi_target_t06h,zero,0.002001336693765283,0.0006930049099709571,14147
C0_direct_osi,osi_target_t06h,0_to_0.01,0.005269027849620819,0.0028388778915844604,15675
C0_direct_osi,osi_target_t06h,0.01_to_0.05,0.015667142383806454,0.01170439277569527,2421
C0_direct_osi,osi_target_t06h,above_0.05,0.06060138432061257,0.04264415617534446,739
C0_direct_osi,osi_target_t24h,zero,0.002066201078207715,0.0005812434725028888,12791
C0_direct_osi,osi_target_t24h,0_to_0.01,0.004738055578785099,0.0026325917533751475,13815
C0_direct_osi,osi_target_t24h,0.01_to_0.05,0.01584160217650454,0.012122734223290833,1763
C0_direct_osi,osi_target_t24h,above_0.05,0.06522363612408752,0.05223815086646147,311
C0_direct_osi,osi_target_t48h,zero,0.0018847604921103775,0.0005562878960557745,10947
C0_direct_osi,osi_target_t48h,0_to_0.01,0.004124909432212451,0.0021593838400692828,10861
C0_direct_osi,osi_target_t48h,0.01_to_0.05,0.015195084607057156,0.012241072477616919,985
C0_direct_osi,osi_target_t48h,above_0.05,0.07824990454875928,0.06661937733249863,151
C1_component_osi,osi_target_t01h,zero,0.001718703511867974,0.0005928960205940346,14503
C1_component_osi,osi_target_t01h,0_to_0.01,0.005023261119503286,0.0027017517090312786,16098
C1_component_osi,osi_target_t01h,0.01_to_0.05,0.01624501189150553,0.011868807611163247,2628
C1_component_osi,osi_target_t01h,above_0.05,0.06249894399365084,0.03978401328083773,948
C1_component_osi,osi_target_t06h,zero,0.0019257961781898965,0.0006970048122052398,14147
C1_component_osi,osi_target_t06h,0_to_0.01,0.00512208641983346,0.002776830830348429,15675
C1_component_osi,osi_target_t06h,0.01_to_0.05,0.016066725599195242,0.011801048441688921,2421
