model,horizon,target_day,rmse,mae,n
C0_direct_osi,osi_target_t01h,2026-03-14,0.02255579552785958,0.007592272664540374,5497
C0_direct_osi,osi_target_t01h,2026-03-15,0.010713240943536945,0.00491107295278339,5736
C0_direct_osi,osi_target_t01h,2026-03-16,0.010146006964628595,0.004451480624284596,5736
C0_direct_osi,osi_target_t01h,2026-03-17,0.01125313874300731,0.0036632371976513694,5736
C0_direct_osi,osi_target_t01h,2026-03-18,0.005478595694572042,0.000801754822422764,5736
C0_direct_osi,osi_target_t01h,2026-03-19,0.0011984208883790894,0.000341349208113271,5736
C0_direct_osi,osi_target_t06h,2026-03-14,0.019455137512166935,0.007143146773918343,4302
C0_direct_osi,osi_target_t06h,2026-03-15,0.011055000901498972,0.005079566464653958,5736
C0_direct_osi,osi_target_t06h,2026-03-16,0.010368777320481417,0.004589165506921167,5736
C0_direct_osi,osi_target_t06h,2026-03-17,0.01082731848418962,0.003631959441615394,5736
C0_direct_osi,osi_target_t06h,2026-03-18,0.005463523118138365,0.0008503582969740897,5736
C0_direct_osi,osi_target_t06h,2026-03-19,0.0013481245047809614,0.0003928659652340381,5736
C0_direct_osi,osi_target_t24h,2026-03-15,0.011096208181558221,0.005014473555675734,5736
C0_direct_osi,osi_target_t24h,2026-03-16,0.010404801576949535,0.004595835721242715,5736
C0_direct_osi,osi_target_t24h,2026-03-17,0.01046148442722992,0.003587349872849279,5736
C0_direct_osi,osi_target_t24h,2026-03-18,0.0054240127891588535,0.0007323102183091286,5736
C0_direct_osi,osi_target_t24h,2026-03-19,0.0010617625528817121,0.0002650072157434661,5736
C0_direct_osi,osi_target_t48h,2026-03-16,0.00991687519731989,0.004398903295170903,5736
C0_direct_osi,osi_target_t48h,2026-03-17,0.01052322784389266,0.0035688053280806685,5736
C0_direct_osi,osi_target_t48h,2026-03-18,0.005448797727599371,0.0007764350567528483,5736
C0_direct_osi,osi_target_t48h,2026-03-19,0.0010309297309374285,0.0002620860711767167,5736
C1_component_osi,osi_target_t01h,2026-03-14,0.02233319148570854,0.007361073780221117,5497
C1_component_osi,osi_target_t01h,2026-03-15,0.010678256603846642,0.004897810659245653,5736
C1_component_osi,osi_target_t01h,2026-03-16,0.010085964234533729,0.0044667479904719485,5736
C1_component_osi,osi_target_t01h,2026-03-17,0.010958726364732852,0.0035957494920691017,5736
C1_component_osi,osi_target_t01h,2026-03-18,0.005443513887411596,0.0007720772404793271,5736
C1_component_osi,osi_target_t01h,2026-03-19,0.0011396296196870886,0.00030775032574591204,5736
C1_component_osi,osi_target_t06h,2026-03-14,0.019094316874031465,0.00707561986482366,4302
C1_component_osi,osi_target_t06h,2026-03-15,0.011026731313366156,0.005053023914890107,5736
C1_component_osi,osi_target_t06h,2026-03-16,0.01031366164064595,0.004562384219389113,5736
C1_component_osi,osi_target_t06h,2026-03-17,0.010755280346414231,0.003566402640558075,5736
C1_component_osi,osi_target_t06h,2026-03-18,0.005494504427578996,0.0008768484259287354,5736
C1_component_osi,osi_target_t06h,2026-03-19,0.0011951288466165515,0.000356142074658409,5736
C1_component_osi,osi_target_t24h,2026-03-15,0.011002857148274862,0.004983057330573211,5736
C1_component_osi,osi_target_t24h,2026-03-16,0.0102148540687825,0.004523232215983366,5736
C1_component_osi,osi_target_t24h,2026-03-17,0.010230557732170983,0.0035166597136710013,5736
C1_component_osi,osi_target_t24h,2026-03-18,0.005418899511504962,0.0007571999686953691,5736
C1_component_osi,osi_target_t24h,2026-03-19,0.0010931621111844045,0.00029213366803141656,5736
C1_component_osi,osi_target_t48h,2026-03-16,0.009851380342539039,0.00431227695207857,5736
C1_component_osi,osi_target_t48h,2026-03-17,0.01043870476426639,0.0035630681108317643,5736
C1_component_osi,osi_target_t48h,2026-03-18,0.005435793609578428,0.0007985047457837364,5736
C1_component_osi,osi_target_t48h,2026-03-19,0.0010267739314685862,0.00026616475260204215,5736
C2_equal_blend,osi_target_t01h,2026-03-14,0.02241105797818164,0.00743948152035118,5497
C2_equal_blend,osi_target_t01h,2026-03-15,0.010667320588346152,0.0048763164862648065,5736
C2_equal_blend,osi_target_t01h,2026-03-16,0.010086793232112277,0.004431657409003347,5736
C2_equal_blend,osi_target_t01h,2026-03-17,0.011083304702507728,0.0035995445636618946,5736
C2_equal_blend,osi_target_t01h,2026-03-18,0.00545053292593458,0.0007692196408971326,5736
C2_equal_blend,osi_target_t01h,2026-03-19,0.0011436136844214365,0.0003154971017772416,5736
C2_equal_blend,osi_target_t06h,2026-03-14,0.019237942097513335,0.007076094177033823,4302
C2_equal_blend,osi_target_t06h,2026-03-15,0.011008003371042914,0.005033361814150095,5736
C2_equal_blend,osi_target_t06h,2026-03-16,0.010313320894496183,0.0045455139056894255,5736
C2_equal_blend,osi_target_t06h,2026-03-17,0.010772994949160545,0.003571224128948901,5736
C2_equal_blend,osi_target_t06h,2026-03-18,0.005468657814002206,0.0008464733996411789,5736
C2_equal_blend,osi_target_t06h,2026-03-19,0.0012398119209869095,0.0003604156847917893,5736
C2_equal_blend,osi_target_t24h,2026-03-15,0.011024381803298337,0.004974159988532889,5736
C2_equal_blend,osi_target_t24h,2026-03-16,0.010283195790251594,0.004532175217564247,5736
C2_equal_blend,osi_target_t24h,2026-03-17,0.010328530646333486,0.0035347240834186374,5736
C2_equal_blend,osi_target_t24h,2026-03-18,0.005414260844130497,0.0007302338053012165,5736
C2_equal_blend,osi_target_t24h,2026-03-19,0.0010643657313315774,0.0002695446095391965,5736
C2_equal_blend,osi_target_t48h,2026-03-16,0.009861626701911198,0.004331259277342336,5736
C2_equal_blend,osi_target_t48h,2026-03-17,0.010463758806944404,0.003546002270298772,5736
C2_equal_blend,osi_target_t48h,2026-03-18,0.005434099282502426,0.0007695174399298605,5736
C2_equal_blend,osi_target_t48h,2026-03-19,0.0010145655494876408,0.0002541596218314239,5736
C3_aligned_component,osi_target_t01h,2026-03-14,0.022199889766182455,0.007360742534785811,5497
C3_aligned_component,osi_target_t01h,2026-03-15,0.010745199598628545,0.0048917452775549455,5736
C3_aligned_component,osi_target_t01h,2026-03-16,0.009965965906351551,0.004356553653893918,5736
C3_aligned_component,osi_target_t01h,2026-03-17,0.010486780208444742,0.0034899427720164696,5736
C3_aligned_component,osi_target_t01h,2026-03-18,0.005408036346127904,0.000750514773220841,5736
