cv_seed,source,horizon,n,rmse,mae,sse,sae,bias
20260917,T,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307
20260917,Stella_L0,1,34177,0.011279784035266497,0.0033373913910967556,4.348460282431759,114.06202557351381,-0.00017010159640818727
20260917,Stella_L1,1,34177,0.011279784035266497,0.0033373913910967556,4.348460282431759,114.06202557351381,-0.00017010159640818727
20260917,Stella_L2,1,34177,0.011279784035266497,0.0033373913910967556,4.348460282431759,114.06202557351381,-0.00017010159640818727
20260917,T,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189
20260917,Stella_L0,6,32982,0.0103282666639301,0.003209718940664248,3.51829192962018,105.86295010098823,-0.00016407242957993933
20260917,Stella_L1,6,32982,0.0103282666639301,0.003209718940664248,3.51829192962018,105.86295010098823,-0.00016407242957993933
20260917,Stella_L2,6,32982,0.0103282666639301,0.003209718940664248,3.51829192962018,105.86295010098823,-0.00016407242957993933
20260917,T,24,28680,0.00856674431733002,0.002890042669314749,2.104799623133157,82.88642375594699,-0.00012182407134348413
20260917,Stella_L0,24,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,84.78607694658996,-9.541737739903497e-05
20260917,Stella_L1,24,28680,0.00872040904609804,0.002747740361959196,2.180985913148782,78.80519358098974,-0.00030449733542852874
20260917,Stella_L2,24,28680,0.008609503545453312,0.0027417302070555025,2.125863451260286,78.63282233835182,-0.00026801273034823966
20260917,T,48,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,51.622532398985996,-0.0002851312363928788
20260917,Stella_L0,48,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,51.622532398985996,-0.0002851312363928788
20260917,Stella_L1,48,22944,0.007907796537290282,0.002142405197117442,1.4347627979489337,49.15534484266259,-0.0004539424154853103
20260917,Stella_L2,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914
