cv_seed,pair,candidate,reference,horizon,severity,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260918,I3_minus_I1,I3,I1,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,24,zero,12791,0.0023069802338662178,0.0005561099245552708,0.06807572041275764,7.113202044986469,0.0005561099245552708,0.002563100305798798,-0.0002561200719325804,-9.99258871582709,0.015954538911743518
20260918,I3_minus_I1,I3,I1,24,0_to_.01,13815,0.00472534401540674,0.00245432768810758,0.3084734228233352,33.90653701120622,0.0013553616780140397,0.004859427106593859,-0.00013408309118711874,-2.759236598182091,0.017754426553057756
20260918,I3_minus_I1,I3,I1,24,.01_to_.05,1763,0.015516381017193357,0.012100245655420916,0.4244564948120765,21.332733090507077,-0.009255405617842688,0.015670497923718035,-0.00015411690652467752,-0.9834844257974318,0.008473727815417387
20260918,I3_minus_I1,I3,I1,24,above_.05,311,0.056933286271617325,0.04657325625979621,1.008075115648324,14.484282696796623,-0.04267221309863265,0.05689079886237419,4.248740924313321e-05,0.07468239169203805,-0.0015040241413988298
20260918,I3_minus_I1,I3,I1,48,zero,10947,0.0021612883942189283,0.00047681957509050334,0.05113527087412154,5.21974388851574,0.00047681957509050334,0.0021612883942189283,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,0_to_.01,10861,0.004509966823867824,0.002166005053480893,0.22091057597169067,23.524980885855975,0.0009768873463379566,0.004509966823867824,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,.01_to_.05,985,0.014918333724883315,0.012119300492626049,0.21921833091008602,11.937510985236658,-0.010413733687241312,0.014918333724883315,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,above_.05,151,0.06980739046382615,0.05817958961266134,0.7358338362687322,8.785118031511862,-0.0581150997855935,0.06980739046382615,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,24,zero,12791,0.0023069802338662178,0.0005561099245552708,0.06807572041275764,7.113202044986469,0.0005561099245552708,0.0021448214889482303,0.00016215874491798746,7.560477445491576,-0.009233804736720197
20260918,I3_minus_I2,I3,I2,24,0_to_.01,13815,0.00472534401540674,0.00245432768810758,0.3084734228233352,33.90653701120622,0.0013553616780140397,0.004701302085101036,2.4041930305704687e-05,0.5113887572103959,-0.003130959327724725
20260918,I3_minus_I2,I3,I2,24,.01_to_.05,1763,0.015516381017193357,0.012100245655420916,0.4244564948120765,21.332733090507077,-0.009255405617842688,0.015476471326557235,3.9909690636122375e-05,0.25787332134061813,-0.0021806814076342773
20260918,I3_minus_I2,I3,I2,24,above_.05,311,0.056933286271617325,0.04657325625979621,1.008075115648324,14.484282696796623,-0.04267221309863265,0.05703515418496686,-0.00010186791334953343,-0.17860548429337042,0.003610625164491177
20260918,I3_minus_I2,I3,I2,48,zero,10947,0.0021612883942189283,0.00047681957509050334,0.05113527087412154,5.21974388851574,0.00047681957509050334,0.0021612883942189283,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,48,0_to_.01,10861,0.004509966823867824,0.002166005053480893,0.22091057597169067,23.524980885855975,0.0009768873463379566,0.004509966823867824,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,48,.01_to_.05,985,0.014918333724883315,0.012119300492626049,0.21921833091008602,11.937510985236658,-0.010413733687241312,0.014918333724883315,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,48,above_.05,151,0.06980739046382615,0.05817958961266134,0.7358338362687322,8.785118031511862,-0.0581150997855935,0.06980739046382615,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,24,zero,12791,0.0021448214889482303,0.000522143626048541,0.05884191567603744,6.678739120786888,0.000522143626048541,0.002563100305798798,-0.0004182788168505679,-16.319252738733926,0.025188343648463715
20260918,I2_minus_I1,I2,I1,24,0_to_.01,13815,0.004701302085101036,0.002406743438149676,0.30534246349561045,33.249160598037776,0.0013139145482379683,0.004859427106593859,-0.00015812502149282343,-3.253984842745361,0.02088538588078248
