pair,horizon,improved_splits,worsened_splits,equivalent_splits,min_rmse_change_pct,max_rmse_change_pct
I1_minus_B0,1,0,0,3,0.0,0.0
I1_minus_B0,6,0,0,3,0.0,0.0
I1_minus_B0,24,0,0,3,0.0,0.0
I1_minus_B0,48,3,0,0,-0.9867224036592126,-0.38581166955726776
I2_minus_I1,1,0,0,3,0.0,0.0
I2_minus_I1,6,0,0,3,0.0,0.0
I2_minus_I1,24,1,2,0,-1.405010878541657,0.4991304343797687
I2_minus_I1,48,0,0,3,0.0,0.0
I3_minus_B0,1,0,0,3,0.0,0.0
I3_minus_B0,6,0,0,3,0.0,0.0
I3_minus_B0,24,3,0,0,-1.1056791112294184,-0.07466353770568812
I3_minus_B0,48,3,0,0,-0.9867224036592126,-0.38581166955726776
I3_minus_I1,1,0,0,3,0.0,0.0
I3_minus_I1,6,0,0,3,0.0,0.0
I3_minus_I1,24,3,0,0,-1.1056791112294184,-0.07466353770568812
I3_minus_I1,48,0,0,3,0.0,0.0
I3_minus_I2,1,0,0,3,0.0,0.0
I3_minus_I2,6,0,0,3,0.0,0.0
I3_minus_I2,24,2,1,0,-0.5709442157413536,0.30359734300846597
I3_minus_I2,48,0,0,3,0.0,0.0
