feature_set,component,candidate,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
base,P_t,huber,osi_target_t01h,0.019011034549594547,0.005552310557267929,34177,0.6970906753334647,0.008346986297828964,0.43171674391317083,18.061854463528103
base,P_t,huber,osi_target_t06h,0.01652157662305222,0.0054301636924241935,32982,0.6721720958895923,0.007289054357120734,0.38214596091989955,11.009035231338306
base,P_t,huber,osi_target_t24h,0.01350204992139251,0.004607591748952404,28680,0.4471955032677213,0.004652713934378921,0.18215995164801363,11.401673640167365
base,P_t,huber,osi_target_t48h,0.012221488099174468,0.003660085672865705,22944,0.3443571914831266,0.003218772474779755,0.10313863262675042,11.031206415620641
base,P_t,l2,osi_target_t01h,0.019015694046351946,0.005589108064343094,34177,0.6969421744219473,0.008380060075253921,0.42831800007352744,19.811569183954123
base,P_t,l2,osi_target_t06h,0.01652157662305222,0.0054301636924241935,32982,0.6721720958895923,0.007289054357120734,0.38214596091989955,11.009035231338306
base,P_t,l2,osi_target_t24h,0.01350204992139251,0.004607591748952404,28680,0.4471955032677213,0.004652713934378921,0.18215995164801363,11.401673640167365
base,P_t,l2,osi_target_t48h,0.012221488099174468,0.003660085672865705,22944,0.3443571914831266,0.003218772474779755,0.10313863262675042,11.031206415620641
base,P_t,weighted_l2,osi_target_t01h,0.019036103406955062,0.006211726100027746,34177,0.6962912872445195,0.009405881642835645,0.4871505602854958,22.187435994967373
base,P_t,weighted_l2,osi_target_t06h,0.016962222376487396,0.006152605813623342,32982,0.6544519515639926,0.008464253334787782,0.41339036479948854,17.937056576314355
base,P_t,weighted_l2,osi_target_t24h,0.014100273747055981,0.005414399960653334,28680,0.39712505283281796,0.005861558842463789,0.19219378511992233,17.967224546722456
base,P_t,weighted_l2,osi_target_t48h,0.01254030064179061,0.004591709671883832,22944,0.30970453474926707,0.004469223444064274,0.10453661525932775,14.038528591352858
base,N_t,huber,osi_target_t01h,0.0042650244372151695,0.000912361696640493,34177,0.10642527612778185,0.0006502311535351211,0.028648270163461345,24.472598531175937
base,N_t,huber,osi_target_t06h,0.0037219957474193405,0.0008477534810406517,32982,0.08076992657072912,0.0005789435676072689,0.02384598313395419,6.961372870050331
base,N_t,huber,osi_target_t24h,0.0037461377320231674,0.0008662008682637331,28680,0.09871867558487701,0.0006108488501271862,0.017760499505988958,12.07112970711297
base,N_t,huber,osi_target_t48h,0.003435584367091952,0.0006558757591678592,22944,0.08194658844581237,0.0004304310392272965,0.021175765079063026,12.822524407252441
base,N_t,tweedie,osi_target_t01h,0.004331282789481653,0.0006391719076034554,34177,0.07844574787227954,0.00027226221150720607,0.027263982530919623,0.0
base,N_t,tweedie,osi_target_t06h,0.003739131060217888,0.0006223395708053994,32982,0.07228654625798325,0.0002864714750905201,0.02445526137562068,0.0
base,N_t,tweedie,osi_target_t24h,0.003770001070300621,0.0006272196116499151,28680,0.08719956679458651,0.00028134500788960803,0.021753854379029974,0.0
base,N_t,tweedie,osi_target_t48h,0.003446315603750291,0.00047380422448649995,22944,0.07620245075907672,0.00019093515007962238,0.031639768568719875,0.0
base,N_t,hurdle,osi_target_t01h,0.00438371216737224,0.0006273868842841017,34177,0.05600022780613467,0.0002192116887028718,0.014809895724268513,0.0
base,N_t,hurdle,osi_target_t06h,0.00376709643915525,0.0005924812046903068,32982,0.058357707516003554,0.00021531771504218177,0.024165788026978507,0.0
base,N_t,hurdle,osi_target_t24h,0.003820137338340891,0.0006068687421842256,28680,0.06275993888577036,0.00021917153935516713,0.017340493944432923,0.0
base,N_t,hurdle,osi_target_t48h,0.0034514426683510736,0.0004692362075009977,22944,0.07345174920213549,0.0001651939108366284,0.02460516827594687,0.0
base,D_t,huber,osi_target_t01h,0.017174857982931127,0.005329974174653355,34177,0.7720406564278197,0.009223907085071226,0.48442112920956465,15.832284869941773
base,D_t,huber,osi_target_t06h,0.016202205544816124,0.005208948207432927,32982,0.7285243153223209,0.007925939370795264,0.42174550925227133,13.631677884906917
base,D_t,huber,osi_target_t24h,0.011650479869733367,0.004443898902259999,28680,0.5449447612387797,0.004917895045717744,0.19464937944323235,7.175732217573222
base,D_t,huber,osi_target_t48h,0.010598166807220042,0.003614442225445917,22944,0.41522853303749097,0.0034381642563313638,0.09227735207546728,8.21565550906555
base,D_t,l2,osi_target_t01h,0.017174857982931127,0.005329974174653355,34177,0.7720406564278197,0.009223907085071226,0.48442112920956465,15.832284869941773
base,D_t,l2,osi_target_t06h,0.016202205544816124,0.005208948207432927,32982,0.7285243153223209,0.007925939370795264,0.42174550925227133,13.631677884906917
base,D_t,l2,osi_target_t24h,0.011650479869733367,0.004443898902259999,28680,0.5449447612387797,0.004917895045717744,0.19464937944323235,7.175732217573222
