feature_set,component,horizon,positive_rate,average_precision,binary_logloss,brier,mean_probability,positive_magnitude_rmse,positive_magnitude_mae
base,N_t,osi_target_t01h,0.3937150715393393,0.6839238444806387,0.5476969146488266,0.185359077109773,0.391341241505378,0.0068992747451431784,0.001460055745908923
base,N_t,osi_target_t06h,0.39433630465102176,0.6789943328717208,0.5504231380983036,0.1864527743702906,0.39135447312626653,0.005914063600214857,0.0013655452717604316
base,N_t,osi_target_t24h,0.3938981868898187,0.6884387140398861,0.5423279415367548,0.1831166023902958,0.3896771263894605,0.006001006033250578,0.0014080884384922738
base,N_t,osi_target_t48h,0.37783298465829845,0.6591282347650051,0.5455023058410186,0.18437205392914752,0.37155083811060696,0.005523741146015576,0.001120783924547826
base,R_t,osi_target_t01h,0.49384088714632646,0.8453787106966075,0.48632856561471277,0.1606663278786871,0.49627086443256985,0.005811101331123898,0.0016064139111976888
base,R_t,osi_target_t06h,0.4922685100964162,0.845526453136182,0.48587749462922986,0.16064923212152896,0.4931790751926799,0.005778488597550154,0.001560979933802964
base,R_t,osi_target_t24h,0.4725244072524407,0.8243342759900233,0.49642806902568776,0.1644360646177079,0.47085212323633396,0.004970468631768608,0.0013363974909220626
base,R_t,osi_target_t48h,0.45432357043235705,0.7994872552146122,0.510855237832136,0.16990024679414487,0.45340047582015874,0.004811785355253182,0.001131867318191573
profile,N_t,osi_target_t01h,0.3937150715393393,0.6816898707554226,0.5483818020909652,0.1858537853281557,0.3909194876734189,0.006930867870812864,0.0014838393280765907
profile,N_t,osi_target_t06h,0.39433630465102176,0.6805691614203598,0.549590350616436,0.18609706683851637,0.3907847069039699,0.005929047282020488,0.0013840322626130306
profile,N_t,osi_target_t24h,0.3938981868898187,0.6856081257037744,0.544781208681717,0.18416543019326265,0.3885961454362777,0.006017596394836681,0.001429937377392812
profile,N_t,osi_target_t48h,0.37783298465829845,0.6580098751704765,0.5469662001891658,0.18493984423748808,0.3731298041682742,0.0055548715046840075,0.0011317401010335053
profile,R_t,osi_target_t01h,0.49384088714632646,0.8444941643816678,0.4871907055628333,0.16124239614606545,0.49514856099729493,0.005831602581603651,0.0016103317122302667
profile,R_t,osi_target_t06h,0.4922685100964162,0.8459546652584806,0.4849993981859795,0.16027239623738304,0.4937124575540935,0.005800044530755237,0.0015602633248730422
profile,R_t,osi_target_t24h,0.4725244072524407,0.823149436518638,0.4976823524212796,0.16513689655543212,0.4733237669083578,0.004992469685382385,0.0013488619511126477
profile,R_t,osi_target_t48h,0.45432357043235705,0.7982354818254774,0.5114180688607811,0.17009545284571384,0.4546426133076052,0.004827715256317396,0.0011394331648234366
