role,feature_set,component,candidate,horizon,stage,fold,rounds,path,sha256
cv,base,P_t,l2,osi_target_t01h,regression,0.0,179,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t01h_regression_v1.9_balanced_v1_fold0.txt,656c56448e851eca4825f61b1fd0c4258e9575805d14aea27796baa964af42a1
cv,base,P_t,l2,osi_target_t01h,regression,1.0,356,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t01h_regression_v1.9_balanced_v1_fold1.txt,2788507f5e829ede10e090089e0c78f001394296adc0d5e6bf9a71d672842341
cv,base,P_t,l2,osi_target_t01h,regression,2.0,140,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t01h_regression_v1.9_balanced_v1_fold2.txt,db2088cae2c10606a527ba64256d44782d5b8ff0e32195ae41764efc4853108f
cv,base,P_t,l2,osi_target_t01h,regression,3.0,271,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t01h_regression_v1.9_balanced_v1_fold3.txt,ad037b7dc8924b9eecde3a3b323c0de78a2a53489425b192ced5b93db5ea74c2
cv,base,P_t,l2,osi_target_t01h,regression,4.0,360,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t01h_regression_v1.9_balanced_v1_fold4.txt,f129dfc01bc63dbc1f3cf972b83df7545278119d9ef69cf0c9d278370a4351c6
final,base,P_t,l2,osi_target_t01h,regression,,261,versions/v1.9/models/final/lgbm_base_P_t_l2_osi_t01h_regression_v1.9_balanced_v1_final.txt,db0f6d0a48ad3fcf278a7960a808f6db6248bf87f6b9fd2dbf39b62f83b1b06f
cv,base,P_t,l2,osi_target_t06h,regression,0.0,175,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t06h_regression_v1.9_balanced_v1_fold0.txt,0d5ceba6068c2f303890c3f1c6093b7f053c43d3777262647302acb4a67c59e0
cv,base,P_t,l2,osi_target_t06h,regression,1.0,35,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t06h_regression_v1.9_balanced_v1_fold1.txt,a068be1001040bcf965c2ef9d780df425de82305620f883b073c22c93b524d31
cv,base,P_t,l2,osi_target_t06h,regression,2.0,201,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t06h_regression_v1.9_balanced_v1_fold2.txt,65c8359c048916e4faf99d763daa1460e52917a4bd5bc16c616cf2f1c8bea24a
cv,base,P_t,l2,osi_target_t06h,regression,3.0,99,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t06h_regression_v1.9_balanced_v1_fold3.txt,d5c5acb315627900799e26200db02e30df6a24d67057e9089004af0ceeabc6fe
