model,horizon,severity,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C0,osi_target_t01h,lt_0.001,0.0025301462155859797,0.0010776115610998636,23816,-145.3067801744787,0.001093605010881523,0.034167840881295694,68.60933825999328
V18_C0,osi_target_t01h,0.001_0.01,0.006832666715430209,0.0040004175707903265,6769,-6.9494039815566,0.005661240185521049,0.0725941183496822,16.73807061604373
V18_C0,osi_target_t01h,0.01_0.05,0.016386303426828525,0.012092837215311888,2641,-1.3154476516403308,0.01730400831962627,0.14237562700032225,3.40780007572889
V18_C0,osi_target_t01h,ge_0.05,0.06260197951015621,0.039954343237922914,951,0.2251639057656185,0.08557238398288416,0.294342243199764,0.4206098843322818
V18_C0,osi_target_t06h,lt_0.001,0.0027959825246887562,0.0013433729708444532,23277,-178.06602979790281,0.00138346404787328,0.02779296343439568,54.921166817029686
V18_C0,osi_target_t06h,0.001_0.01,0.006707501744177715,0.003996866743921112,6529,-6.7219578526190915,0.0058073282650742955,0.0702536054186016,12.9422576198499
V18_C0,osi_target_t06h,0.01_0.05,0.015525916194705839,0.011669772784943444,2435,-1.1724409069249089,0.015867594816238208,0.11650294931098377,2.546201232032854
V18_C0,osi_target_t06h,ge_0.05,0.060332074400374684,0.04229205844383051,741,0.01393350909876967,0.07546694768940536,0.2650159300735802,0.6747638326585695
V18_C0,osi_target_t24h,lt_0.001,0.0025128748576741283,0.0012806762120475374,21007,-144.41788388181544,0.0013170831240292577,0.027019707309750677,55.605274432332074
V18_C0,osi_target_t24h,0.001_0.01,0.005121041418090481,0.003413807158896989,5585,-3.572771854196244,0.005035134553171905,0.032581787167402176,12.318710832587287
V18_C0,osi_target_t24h,0.01_0.05,0.015183655809793216,0.01210774000968196,1776,-1.2913704171072853,0.010820239499482767,0.08851990176355423,2.9279279279279278
V18_C0,osi_target_t24h,ge_0.05,0.06616732302385896,0.05424626623132443,312,-2.114141925537524,0.04109207387052908,0.1201706406684069,2.2435897435897436
V18_C0,osi_target_t48h,lt_0.001,0.0021758518722010426,0.0010256364204364878,17970,-114.64992251142247,0.001056871812757022,0.02804413953815144,56.5386755703951
V18_C0,osi_target_t48h,0.001_0.01,0.004622120855412049,0.0030215024815886935,3828,-2.9521116075629075,0.003988955086879321,0.030956140493941835,14.00208986415883
V18_C0,osi_target_t48h,0.01_0.05,0.015654118060730228,0.012687087392752597,994,-1.4320312402308768,0.008570762278032247,0.059683526146268144,5.935613682092555
V18_C0,osi_target_t48h,ge_0.05,0.07823471906901593,0.06732555269055926,152,-1.9903276279545148,0.02621404653331191,0.06160437370759144,3.9473684210526314
V18_C1_E0,osi_target_t01h,lt_0.001,0.0024365177692021317,0.0010306299035851185,23816,-134.67892053978906,0.0010477402495710103,0.03422892001910408,69.21817265703729
V18_C1_E0,osi_target_t01h,0.001_0.01,0.006683462173409247,0.0040088897516053065,6769,-6.606013334479399,0.005782747892085254,0.0729308017581071,15.393706603634213
V18_C1_E0,osi_target_t01h,0.01_0.05,0.01617686599951008,0.011823229138430596,2641,-1.2566372771138545,0.017611524199979,0.13829794484514585,3.710715638015903
