horizon,feature_set,component,candidate,key,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,rmse_change_vs_E0_pct
osi_target_t01h,base,P_t,huber,base__P_t__huber__osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213,0.0
osi_target_t01h,base,P_t,l2,base__P_t__l2__osi_target_t01h,0.0118670816395499,0.0035423746782771793,34177,0.7284770706152588,0.005647506845135279,0.2917070417610705,50.74757878105159,0.013944084289074787
osi_target_t01h,base,P_t,weighted_l2,base__P_t__weighted_l2__osi_target_t01h,0.011813005992705973,0.0037575609826910068,34177,0.7309459716324453,0.006063195667346087,0.31524114335047004,46.90873979576908,-0.44179717409629227
osi_target_t01h,base,N_t,huber,base__N_t__huber__osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213,0.0
osi_target_t01h,base,N_t,tweedie,base__N_t__tweedie__osi_target_t01h,0.01187346073541773,0.003461723805660112,34177,0.7281850803209503,0.005505066772296618,0.2928637500076441,53.22585364426369,0.06770612594446668
osi_target_t01h,base,N_t,hurdle,base__N_t__hurdle__osi_target_t01h,0.01188433645639457,0.003458438013938409,34177,0.7276869042330094,0.005486549886724256,0.2927441003703655,53.36922491734207,0.1593650344017039
osi_target_t01h,base,D_t,huber,base__D_t__huber__osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213,0.0
osi_target_t01h,base,D_t,l2,base__D_t__l2__osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213,0.0
osi_target_t01h,base,D_t,weighted_l2,base__D_t__weighted_l2__osi_target_t01h,0.011842047664998964,0.0035909431663389145,34177,0.7296214342853689,0.005761411979243343,0.29598118311486843,49.97220352868889,-0.19703841393531318
osi_target_t01h,base,R_t,huber,base__R_t__huber__osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213,0.0
osi_target_t01h,base,R_t,tweedie,base__R_t__tweedie__osi_target_t01h,0.011871424923762926,0.0035464842974301672,34177,0.7282782825564478,0.0056630007163183975,0.2927717075521528,51.125025602013054,0.0505486175363945
osi_target_t01h,base,R_t,hurdle,base__R_t__hurdle__osi_target_t01h,0.011867310981700052,0.0035493901097180267,34177,0.7284665756585271,0.005670724855755917,0.29271118462081047,51.048951048951054,0.01587694475788659
osi_target_t01h,profile,P_t,huber,profile__P_t__huber__osi_target_t01h,0.011892526192266077,0.0035871422537040623,34177,0.7273114620254906,0.005701899675973994,0.3015871180224732,47.54366971940194,0.22838687232249466
osi_target_t01h,profile,P_t,l2,profile__P_t__l2__osi_target_t01h,0.011854482972802638,0.0035744520627845233,34177,0.7290532882815592,0.00568807182161109,0.29825855435166815,47.63437399420663,-0.09223554688476687
osi_target_t01h,profile,P_t,weighted_l2,profile__P_t__weighted_l2__osi_target_t01h,0.011910413985826656,0.0038599041588996204,34177,0.7264905322092985,0.006192245103413949,0.29968034108619757,43.05527108874389,0.37914245312147266
osi_target_t01h,profile,N_t,huber,profile__N_t__huber__osi_target_t01h,0.011863366196111303,0.0035230582978267614,34177,0.7286470652594274,0.0056253081150716274,0.29297265860936883,51.67510313953828,-0.017369103199071922
osi_target_t01h,profile,N_t,tweedie,profile__N_t__tweedie__osi_target_t01h,0.011876664215428866,0.003462361849099598,34177,0.7280383882744208,0.005506259371259961,0.29286993052429117,53.19074231208123,0.09470456418230189
osi_target_t01h,profile,N_t,hurdle,profile__N_t__hurdle__osi_target_t01h,0.011884380545456203,0.003459928439031915,34177,0.7276848837498,0.005493640975380251,0.29277089399534334,53.287298475582986,0.1597366102515041
osi_target_t01h,profile,D_t,huber,profile__D_t__huber__osi_target_t01h,0.011845916297834236,0.0035183420795416444,34177,0.7294447475698662,0.0056416883998312,0.29247898032147246,50.5135032331685,-0.16443416970561842
osi_target_t01h,profile,D_t,l2,profile__D_t__l2__osi_target_t01h,0.011845916297834236,0.0035183420795416444,34177,0.7294447475698662,0.0056416883998312,0.29247898032147246,50.5135032331685,-0.16443416970561842
osi_target_t01h,profile,D_t,weighted_l2,profile__D_t__weighted_l2__osi_target_t01h,0.01184108264201585,0.003596727759110657,34177,0.7296654994514666,0.005752030407071028,0.28441276668246857,47.713374491617174,-0.20517147963796667
osi_target_t01h,profile,R_t,huber,profile__R_t__huber__osi_target_t01h,0.011868775112851887,0.0035281030645761434,34177,0.7283995705770052,0.005628060661209435,0.29291235393588183,51.63706586300728,0.02821641756169946
