model,horizon,target_day,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C0,osi_target_t01h,2026-03-14,0.02242249582349928,0.00750902716074225,5497,0.780685199195203,0.019068226182849736,0.294342243199764,36.56539930871384
V18_C0,osi_target_t01h,2026-03-15,0.010711045500274366,0.004917340679045498,5736,0.6099394301948315,0.006971246985415351,0.12715469786967024,32.63598326359833
V18_C0,osi_target_t01h,2026-03-16,0.010143113016404137,0.004493447572470809,5736,0.25272117161824414,0.0046368041531414045,0.053964885700975906,17.59065550906555
V18_C0,osi_target_t01h,2026-03-17,0.011145599073314031,0.0036356947041687637,5736,0.34086837626652255,0.002867080477061109,0.05183716749793149,48.709902370990235
V18_C0,osi_target_t01h,2026-03-18,0.005472269552370273,0.0007989325648593263,5736,-0.03369937703929349,0.00041581766010863986,0.0181061514748196,82.63598326359832
V18_C0,osi_target_t01h,2026-03-19,0.0012061362058431327,0.0003456348068853972,5736,-0.6490140594596616,0.00021145929604426985,0.012214341076555236,89.64435146443515
V18_C0,osi_target_t06h,2026-03-14,0.019345753732929977,0.007132879941839343,4302,0.7871918485843561,0.016319246288041687,0.2650159300735802,29.9860529986053
V18_C0,osi_target_t06h,2026-03-15,0.011051741778764874,0.005170812260159548,5736,0.5847307430049067,0.007194209800073289,0.1587060849313832,25.24407252440725
V18_C0,osi_target_t06h,2026-03-16,0.010379104633308354,0.004662213239561707,5736,0.21754399216660203,0.004867656828738437,0.04825542108935344,16.283124128312412
V18_C0,osi_target_t06h,2026-03-17,0.01062801154873598,0.0036591537274000704,5736,0.40066539986184146,0.0032099808777141126,0.050499714357276154,38.85983263598327
V18_C0,osi_target_t06h,2026-03-18,0.0054737409246610105,0.0009961972823931005,5736,-0.03425532958569999,0.0007156380565209827,0.013514007267877253,64.57461645746164
V18_C0,osi_target_t06h,2026-03-19,0.001418687354270915,0.0005802947146540037,5736,-1.2814189520666268,0.00048255330885877394,0.01043259607755392,71.32147838214784
V18_C0,osi_target_t24h,2026-03-15,0.010931829891827186,0.005073454599158301,5736,0.5936932356693259,0.00655394356535287,0.1201706406684069,24.494421199442122
