feature_set,component,candidate,horizon,fold,rmse,mae,n,best_rounds,train_q95,classification_rounds,magnitude_rounds,positive_train_rows,positive_valid_rows
base,P_t,l2,osi_target_t01h,0,0.011110276016532005,0.0044183631173757044,6864,179.0,,,,,
base,P_t,l2,osi_target_t01h,1,0.01636395449504651,0.005725606733789093,6721,356.0,,,,,
base,P_t,l2,osi_target_t01h,2,0.021088602584126315,0.006328169537846066,6864,140.0,,,,,
base,P_t,l2,osi_target_t01h,3,0.025737501825893204,0.006202510575278208,6864,271.0,,,,,
base,P_t,l2,osi_target_t01h,4,0.017540329747252247,0.005273734079706522,6864,360.0,,,,,
base,P_t,l2,osi_target_t06h,0,0.010299791469336104,0.004150196042394044,6624,175.0,,,,,
base,P_t,l2,osi_target_t06h,1,0.015715605965947226,0.00603054440912965,6486,35.0,,,,,
base,P_t,l2,osi_target_t06h,2,0.021250429928759567,0.006290728769015194,6624,201.0,,,,,
base,P_t,l2,osi_target_t06h,3,0.018955859017516744,0.005963804915697002,6624,99.0,,,,,
base,P_t,l2,osi_target_t06h,4,0.014152732450015698,0.004728052257483103,6624,269.0,,,,,
base,P_t,l2,osi_target_t24h,0,0.007559939377588107,0.0033661187670535157,5760,218.0,,,,,
base,P_t,l2,osi_target_t24h,1,0.013841056393363233,0.005402767900384428,5640,12.0,,,,,
base,P_t,l2,osi_target_t24h,2,0.020408083044628156,0.005873804822452528,5760,303.0,,,,,
base,P_t,l2,osi_target_t24h,3,0.009482701866209316,0.00447684645949597,5760,39.0,,,,,
base,P_t,l2,osi_target_t24h,4,0.012513227443671495,0.0039349869651970765,5760,331.0,,,,,
base,P_t,l2,osi_target_t48h,0,0.005809407536967874,0.002582862529286582,4608,310.0,,,,,
base,P_t,l2,osi_target_t48h,1,0.009181738211389552,0.003869769632450238,4512,9.0,,,,,
base,P_t,l2,osi_target_t48h,2,0.020874127493772786,0.00500566150919069,4608,336.0,,,,,
base,P_t,l2,osi_target_t48h,3,0.008058936936995185,0.0034932191962574375,4608,27.0,,,,,
base,P_t,l2,osi_target_t48h,4,0.011257852146672444,0.0033532839129682543,4608,194.0,,,,,
base,P_t,weighted_l2,osi_target_t01h,0,0.011796307857174006,0.005177864074709164,6864,100.0,0.042559359799999946,,,,
base,P_t,weighted_l2,osi_target_t01h,1,0.017236841698956736,0.0066048862881024255,6721,206.0,0.04184933575,,,,
base,P_t,weighted_l2,osi_target_t01h,2,0.019954334805274244,0.006521444071261496,6864,244.0,0.040003796199999886,,,,
base,P_t,weighted_l2,osi_target_t01h,3,0.026208049568981026,0.007093621028945488,6864,141.0,0.043476921999999994,,,,
base,P_t,weighted_l2,osi_target_t01h,4,0.017006103508149285,0.00566900587437171,6864,190.0,0.04180986039999986,,,,
base,P_t,weighted_l2,osi_target_t06h,0,0.010964817135084274,0.004818890708250121,6624,265.0,0.03566994304999992,,,,
base,P_t,weighted_l2,osi_target_t06h,1,0.016323241710575594,0.007100028488878997,6486,51.0,0.034185903499999996,,,,
base,P_t,weighted_l2,osi_target_t06h,2,0.02074084817649335,0.0068250012795551965,6624,286.0,0.03200717899999994,,,,
base,P_t,weighted_l2,osi_target_t06h,3,0.02037053330448867,0.006980053813072384,6624,349.0,0.03607305154999982,,,,
base,P_t,weighted_l2,osi_target_t06h,4,0.014364017386379638,0.005058792750761169,6624,181.0,0.03441929,,,,
base,P_t,weighted_l2,osi_target_t24h,0,0.008241401068935965,0.004080290744811553,5760,170.0,0.02316009814999999,,,,
base,P_t,weighted_l2,osi_target_t24h,1,0.013960021556240246,0.006963412920979034,5640,22.0,0.022516476299999987,,,,
base,P_t,weighted_l2,osi_target_t24h,2,0.021070684589708837,0.006243982973889657,5760,342.0,0.021759778599999988,,,,
base,P_t,weighted_l2,osi_target_t24h,3,0.010789472943015636,0.005222507997349641,5760,178.0,0.023205545499999997,,,,
base,P_t,weighted_l2,osi_target_t24h,4,0.013069706953742393,0.004594076269576904,5760,147.0,0.022708591899999995,,,,
base,P_t,weighted_l2,osi_target_t48h,0,0.007575560640138802,0.0036647872038156246,4608,345.0,0.014525994,,,,
base,P_t,weighted_l2,osi_target_t48h,1,0.009487966684683248,0.005134610825359017,4512,19.0,0.01425066785000005,,,,
base,P_t,weighted_l2,osi_target_t48h,2,0.020984111800751944,0.005371139288385781,4608,529.0,0.01271782075,,,,
base,P_t,weighted_l2,osi_target_t48h,3,0.008743284948370783,0.004936449628700956,4608,26.0,0.0141162935,,,,
base,P_t,weighted_l2,osi_target_t48h,4,0.010986642181804639,0.0038628718538551796,4608,117.0,0.0141162935,,,,
base,N_t,tweedie,osi_target_t01h,0,0.0016476423467538762,0.00039227468824735913,6864,266.0,,,,,
base,N_t,tweedie,osi_target_t01h,1,0.003310220557232707,0.00063272825772591,6721,195.0,,,,,
base,N_t,tweedie,osi_target_t01h,2,0.0057589738159407695,0.0007586052116331124,6864,221.0,,,,,
base,N_t,tweedie,osi_target_t01h,3,0.005804749823990355,0.0007554713608558348,6864,86.0,,,,,
base,N_t,tweedie,osi_target_t01h,4,0.003619988479097276,0.000656645776849279,6864,163.0,,,,,
base,N_t,tweedie,osi_target_t06h,0,0.001634032909693056,0.0003920996830228068,6624,237.0,,,,,
base,N_t,tweedie,osi_target_t06h,1,0.0030985376748425305,0.0006326891116504542,6486,105.0,,,,,
base,N_t,tweedie,osi_target_t06h,2,0.005906237897988759,0.0007827518503487488,6624,145.0,,,,,
base,N_t,tweedie,osi_target_t06h,3,0.003124382188608838,0.0006480761167043471,6624,88.0,,,,,
base,N_t,tweedie,osi_target_t06h,4,0.0035913566436450574,0.0006562967077349129,6624,108.0,,,,,
base,N_t,tweedie,osi_target_t24h,0,0.0015318900276930045,0.00037528780546633846,5760,265.0,,,,,
base,N_t,tweedie,osi_target_t24h,1,0.003277593728986334,0.0006643261870147747,5640,107.0,,,,,
base,N_t,tweedie,osi_target_t24h,2,0.00616109673819054,0.0008285496585378715,5760,149.0,,,,,
base,N_t,tweedie,osi_target_t24h,3,0.002363107372924405,0.0006088286298192383,5760,77.0,,,,,
base,N_t,tweedie,osi_target_t24h,4,0.0037893990965922946,0.0006598788310647877,5760,170.0,,,,,
base,N_t,tweedie,osi_target_t48h,0,0.0013523948473003198,0.00026418554733761187,4608,249.0,,,,,
base,N_t,tweedie,osi_target_t48h,1,0.0023657997638485786,0.0004751125790247178,4512,50.0,,,,,
base,N_t,tweedie,osi_target_t48h,2,0.006343038507617028,0.0007037749563990022,4608,205.0,,,,,
base,N_t,tweedie,osi_target_t48h,3,0.0020031819491763535,0.00046804375014127225,4608,85.0,,,,,
base,N_t,tweedie,osi_target_t48h,4,0.0027535005666222815,0.0004579315469161086,4608,100.0,,,,,
base,N_t,hurdle,osi_target_t01h,0,0.0017259583827988188,0.00037921906804114767,6864,,,128.0,420.0,10822.0,2634.0
base,N_t,hurdle,osi_target_t01h,1,0.003378886737989702,0.0006360325958533833,6721,,,131.0,89.0,10545.0,2911.0
base,N_t,hurdle,osi_target_t01h,2,0.005797661247191034,0.0007402798068164723,6864,,,185.0,452.0,10808.0,2648.0
base,N_t,hurdle,osi_target_t01h,3,0.00585418960817554,0.0007297350916622928,6864,,,87.0,138.0,10824.0,2632.0
base,N_t,hurdle,osi_target_t01h,4,0.003693499805873887,0.0006518479780382389,6864,,,202.0,112.0,10825.0,2631.0
base,N_t,hurdle,osi_target_t06h,0,0.0016689851251723174,0.0003561363837342083,6624,,,172.0,935.0,10482.0,2524.0
base,N_t,hurdle,osi_target_t06h,1,0.0031274928992361577,0.0006181884342076808,6486,,,80.0,70.0,10174.0,2832.0
base,N_t,hurdle,osi_target_t06h,2,0.005938087489420809,0.000765654644479858,6624,,,172.0,172.0,10451.0,2555.0
base,N_t,hurdle,osi_target_t06h,3,0.003144171468604933,0.0005959927134822631,6624,,,154.0,147.0,10444.0,2562.0
base,N_t,hurdle,osi_target_t06h,4,0.003626263443168204,0.0006269694148291357,6624,,,109.0,189.0,10473.0,2533.0
base,N_t,hurdle,osi_target_t24h,0,0.0015914167435166653,0.0003617598496599316,5760,,,128.0,368.0,9164.0,2133.0
base,N_t,hurdle,osi_target_t24h,1,0.0033014178149026177,0.0006517764766314804,5640,,,111.0,102.0,8810.0,2487.0
base,N_t,hurdle,osi_target_t24h,2,0.006259820588079917,0.0008112482951828796,5760,,,199.0,253.0,9054.0,2243.0
base,N_t,hurdle,osi_target_t24h,3,0.002400058365029038,0.0005650862539367948,5760,,,95.0,144.0,9083.0,2214.0
